name;link
car;https://www.amazon.pl/LEGO-Zbudowania-Motoryzacji-Dziewczynki-76920/dp/B0CFVZRN8W?ref_=Oct_d_onr_d_20659660031_3&pd_rd_w=M62Y3&content-id=amzn1.sym.202135b7-c425-40ea-83fd-fae01f445824&pf_rd_p=202135b7-c425-40ea-83fd-fae01f445824&pf_rd_r=82D45YZ4AE53ZATC3KH0&pd_rd_wg=QU6k4&pd_rd_r=1c8911d2-5620-48f3-a133-12f6662084c2&pd_rd_i=B0CFVZRN8W
car2;https://www.amazon.pl/LEGO-Mercedes-AMG-Performance-Konstrukcyjna-42165/dp/B0CFVYZRN1?ref_=Oct_d_onr_d_20659660031_1&pd_rd_w=M62Y3&content-id=amzn1.sym.202135b7-c425-40ea-83fd-fae01f445824&pf_rd_p=202135b7-c425-40ea-83fd-fae01f445824&pf_rd_r=82D45YZ4AE53ZATC3KH0&pd_rd_wg=QU6k4&pd_rd_r=1c8911d2-5620-48f3-a133-12f6662084c2&pd_rd_i=B0CFVYZRN1
other;https://www.amazon.pl/flintronic-rowerowego-rowerowej-sprężarki-powietrza/dp/B0BFGZ1XG2/ref=zg_bs_c_sports_d_sccl_1/261-4479952-3456839?pd_rd_w=SjO5G&content-id=amzn1.sym.b3bbdb6a-2a42-4b01-820e-17a52dfef1dd&pf_rd_p=b3bbdb6a-2a42-4b01-820e-17a52dfef1dd&pf_rd_r=4S7SM7F1QSVGE3KYFYHG&pd_rd_wg=1Jjc1&pd_rd_r=e285ae26-a6be-4cf1-9519-82ecb8a5ad78&pd_rd_i=B0BFGZ1XG2&psc=1
sd_card;https://www.amazon.pl/Samsung-smartfonach-przenośnych-MB-MD256SA-EU/dp/B0BYPCY6JT/ref=sr_1_1?_encoding=UTF8&content-id=amzn1.sym.895c0471-7918-4ad2-9d58-ccca06eae7e7&dib=eyJ2IjoiMSJ9.2Vilq6yBJLWTi_Nda4lObxDsQqW4tjSEFlEMlw1UVSL0XdJSexSCC-jdKLVJMRPJsUGhfM8OTrD8w_u9Gffj6bmGhAB--C39YGy3dan_YreK1wWWd3HMTM6bmyMGx_gWOGNQucblQVP8-i3dtzPxfyElTPX5GCP-kl1FjbAF4bSwsWGkYkH_jwNLhmGvTDbsCAXcBPyKX1WaibJTWjT_KrdSCXotTkIwGNuEYI7xvxAyuwZDIjmbOIbCaKhGEHmhoHSZ66rAM9ecVtRLPIi0Dx34FK4XWUKfvHgoOd5HSgY.dECv6XgP0mUSwyIO4k2AG2IPf_-gx9qSTOhzYW7M-NU&dib_tag=se&pd_rd_r=528bf14e-700f-419f-ad1a-8d204cbfae61&pd_rd_w=VwO0L&pd_rd_wg=c5tkw&pf_rd_p=895c0471-7918-4ad2-9d58-ccca06eae7e7&pf_rd_r=YGPTTC0TB62RY1WFE63F&qid=1716048485&refinements=p_89%3ASAMSUNG&rnid=21074364031&s=electronics&sr=1-1
electronic;https://www.amazon.pl/Baseus-Ładowarka-ladowarka-zasilacz-sieciowy/dp/B0CTBH6N53/ref=zg_bs_g_electronics_d_sccl_2/261-4479952-3456839?psc=1
